serial,id,bang,2015,20151,20152,20153,20154,20155,20156,20157,20158,20159,201510,201511,201512,2016,20161,20162,20163,20164,20165,20166,20167,20168,20169,201610,201611,201612,2017,20171,20172,20173,20174,20175,20176,20177,20178,20179,201710,201711,201712,2018,20181,20182,20183,20184,20185,20186,20187,20188,20189,201810,201811,201812,2019,20191,20192,20193,20194,20195,20196,20197,20198,20199,201910,201911,201912
27,3,বাগেরহাট,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,1,0,1,0,0,0,44,0,0,0,0,0,0,0,5,1,2,35,1,123,1,0,0,0,0,0,1,96,21,0,3,0
28,3,ঝিনাইদহ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,2,0,2,36,0,163,0,0,0,0,0,0,4,106,44,7,1,0
29,4,ঝালকাঠি,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,3,34,0,134,0,0,0,0,0,0,5,113,14,0,0,2
30,4,পটুয়াখালী,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,1,0,1,0,45,0,0,0,0,0,0,0,2,0,3,40,0,304,1,0,0,0,0,0,5,246,41,2,5,0
31,4,পিরোজপুর,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,2,35,1,309,0,2,0,0,0,0,13,221,43,9,15,1
32,4,বরিশাল,21,0,1,0,0,1,0,0,0,0,6,11,2,1,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,3,0,0,0,0,0,58,0,0,0,0,0,0,0,11,3,4,38,2,1904,2,5,0,1,0,1,33,1133,554,91,24,12
33,4,ভোলা,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,2,0,9,1,0,0,0,0,0,0,4,0,1,3,0,234,2,0,0,0,0,0,5,180,22,18,5,0
34,4,বরগুনা,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,2,2,0,0,0,326,0,0,0,0,0,3,0,213,82,7,2,1
35,5,সিলেট,9,0,0,0,0,0,0,1,0,1,3,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,38,0,0,0,0,6,0,25,1,0,1,5,0,71,0,0,2,1,0,0,0,19,6,18,11,9,1432,7,3,3,3,0,2,33,820,405,65,22,31
36,5,মৌলভীবাজার,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,16,0,0,0,0,0,0,0,3,1,2,6,0,130,1,0,1,0,0,0,4,96,22,0,1,2
37,5,হবিগঞ্জ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,1,5,5,264,1,0,0,7,0,0,21,191,29,9,0,0
